split	level_path	output_dir	status
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00042_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00042_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00043_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00043_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00044_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00044_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00045_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00045_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00047_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00047_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00048_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00048_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00050_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00050_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00051_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00051_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00052_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00052_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00053_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00053_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00055_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00055_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00056_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00056_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00057_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00057_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00058_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00058_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00059_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00059_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00060_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00060_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00061_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00061_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00062_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00062_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00063_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00063_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00064_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00064_0_1_010101_0_1	143
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00065_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00065_0_1_010101_0_1	143
