completion_per_slot,state,ordinal,issue87_typed_failure,completion_failure,first_shot_success,stability_signature
oracle--issue-77-n1-011-a11--a04,issue-77-n1-011-a11,4,TimeoutError: timed out,,True,False
oracle--issue-77-n1-011-a11--a10,issue-77-n1-011-a11,10,TimeoutError: timed out,,False,False
oracle--issue-77-n1-013-a04--a06,issue-77-n1-013-a04,6,TimeoutError: timed out,,False,False
oracle--issue-77-n1-013-a04--a09,issue-77-n1-013-a04,9,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a01--a01,issue-77-n1-014-a01,1,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a01--a04,issue-77-n1-014-a01,4,TimeoutError: timed out,,True,False
oracle--issue-77-n1-014-a01--a08,issue-77-n1-014-a01,8,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a01--a09,issue-77-n1-014-a01,9,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a01--a12,issue-77-n1-014-a01,12,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a10--a00,issue-77-n1-014-a10,0,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a10--a03,issue-77-n1-014-a10,3,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a10--a04,issue-77-n1-014-a10,4,TimeoutError: timed out,,True,False
oracle--issue-77-n1-014-a10--a07,issue-77-n1-014-a10,7,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a10--a08,issue-77-n1-014-a10,8,TimeoutError: timed out,,False,False
oracle--issue-77-n1-014-a10--a12,issue-77-n1-014-a10,12,TimeoutError: timed out,,False,False
oracle--issue-77-n1-015-a06--a03,issue-77-n1-015-a06,3,TimeoutError: timed out,,False,False
oracle--issue-77-n1-015-a06--a06,issue-77-n1-015-a06,6,TimeoutError: timed out,,False,False
oracle--issue-77-n1-015-a06--a08,issue-77-n1-015-a06,8,TimeoutError: timed out,,False,False
oracle--issue-77-n1-015-a06--a11,issue-77-n1-015-a06,11,TimeoutError: timed out,,False,False
oracle--issue-77-n1-016-a03--a03,issue-77-n1-016-a03,3,TimeoutError: timed out,,True,False
oracle--issue-77-n1-016-a03--a05,issue-77-n1-016-a03,5,TimeoutError: timed out,,False,False
oracle--issue-77-n1-016-a03--a07,issue-77-n1-016-a03,7,TimeoutError: timed out,,False,False

updated_oracle_per_state,family,candidates,issue87_executed,issue87_successes,completion_scheduled,completion_executed,completion_successes,executed,successes,typed_unmeasurable,ceiling_indicator
issue-77-n1-001-a00,type010103,12,8,1,4,4,0,12,1,False,1
issue-77-n1-001-a07,type010103,12,12,1,0,0,0,12,1,False,1
issue-77-n1-003-a00,type010103,9,9,0,0,0,0,9,0,False,0
issue-77-n1-003-a10,type010103,9,7,0,2,2,0,9,0,False,0
issue-77-n1-004-a07,type010103,9,5,0,4,4,0,9,0,False,0
issue-77-n1-005-a07,type010103,4,0,0,4,3,1,3,1,True,
issue-77-n1-006-a05,type010103,13,12,1,1,1,0,13,1,False,1
issue-77-n1-006-a11,type010103,13,12,1,1,1,0,13,1,False,1
issue-77-n1-007-a05,type010103,13,11,0,2,2,0,13,0,False,0
issue-77-n1-007-a12,type010103,13,10,0,3,3,0,13,0,False,0
issue-77-n1-008-a05,type010103,13,12,0,1,1,0,13,0,False,0
issue-77-n1-008-a12,type010103,13,13,0,0,0,0,13,0,False,0
issue-77-n1-009-a00,type010105,13,13,0,0,0,0,13,0,False,0
issue-77-n1-009-a09,type010105,13,9,0,4,4,0,13,0,False,0
issue-77-n1-010-a06,type010105,13,9,0,4,4,1,13,1,False,1
issue-77-n1-011-a02,type010105,13,10,1,3,3,0,13,1,False,1
issue-77-n1-011-a11,type010105,13,11,0,2,2,1,13,1,False,1
issue-77-n1-012-a08,type010105,13,13,1,0,0,0,13,1,False,1
issue-77-n1-013-a04,type010105,13,11,0,2,2,0,13,0,False,0
issue-77-n1-014-a01,type010105,13,8,0,5,5,1,13,1,False,1
issue-77-n1-014-a10,type010105,13,7,0,6,6,1,13,1,False,1
issue-77-n1-015-a06,type010105,13,9,0,4,4,0,13,0,False,0
issue-77-n1-016-a03,type010105,13,10,0,3,3,1,13,1,False,1
issue-77-n1-016-a12,type010105,13,13,1,0,0,0,13,1,False,1

pooled_ceiling,measured_states,ceiling_states,prevalence,descriptive_95_low,descriptive_95_high,label
completed,23,12,0.5217391304347826,0.30434782608695654,0.7391304347826086,DESCRIPTIVE
issue87_published_partial,23,7,0.30434782608695654,0.13043478260869565,0.5217391304347826,DESCRIPTIVE

protocol_version,status,frozen_at_utc,change
plan-v1,development,2026-09-22T09:07:25Z,initial protocol draft
plan-v2,development,2026-09-22T09:44:34Z,development amendment after the plan-v1 rendered smoke: cold-start mitigation corrected (probe removal only)
plan-v3,terminal,2026-09-22T09:50:17Z,terminal freeze after the plan-v2 rendered smoke

development_versions,version,label,cell,executed,pig_removed,expectation_matched
EXPLORATORY,1,EXPLORATORY,smoke-v1--issue-77-n1-001-a00--a00,False,,False
EXPLORATORY,1,EXPLORATORY,smoke-v1--issue-77-n1-005-a07--a01,False,,False
EXPLORATORY,2,EXPLORATORY,smoke-v2--issue-77-n1-001-a00--a00,True,False,True
EXPLORATORY,2,EXPLORATORY,smoke-v2--issue-77-n1-005-a07--a01,True,False,True
