cell_identity,state,source_member,family,exposure_role,system,seed,typed_failure,n_candidates,verdict_slots,n_successes,successful_ordinals,chosen_ordinal,chosen_predicted_cost,chosen_in_success_band,top1_hit,top3_hit,chance_top1,chance_top3,auc,spearman_ordinal,spearman_drag_x,spearman_drag_y,bound_issue87_only,first_shot_success_issue87_only,arm,drag_x,drag_y,radius,angle_deg
decision--continuous-fixed-h1--seed20260908--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260908,False,11,11,1,5,8,102.84002304077148,False,False,False,0.09090909090909091,0.2727272727272727,0.5,-0.9,-0.9,-0.9,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h1--seed20260909--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260909,False,11,11,1,5,5,142.4217855334282,True,True,True,0.09090909090909091,0.2727272727272727,1.0,0.13636363636363638,0.13636363636363638,0.13636363636363638,True,True,offset,-58,55,79.93122043357026,43.47923033885623
decision--continuous-fixed-h1--seed20260910--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260910,False,11,11,1,5,6,127.55572146177292,True,False,True,0.09090909090909091,0.2727272727272727,0.9,-0.33636363636363636,-0.33636363636363636,-0.33636363636363636,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--continuous-fixed-h5--seed20260908--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260908,False,11,11,1,5,9,82.69827830791473,False,False,False,0.09090909090909091,0.2727272727272727,0.5,-0.9454545454545454,-0.9454545454545454,-0.9454545454545454,True,False,offset,-25,76,80.00624975587844,71.79151552941917
decision--continuous-fixed-h5--seed20260909--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260909,False,11,11,1,5,6,142.50522381067276,True,False,True,0.09090909090909091,0.2727272727272727,0.8,-0.5454545454545455,-0.5454545454545455,-0.5454545454545455,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--continuous-fixed-h5--seed20260910--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260910,False,11,11,1,5,6,110.5154435634613,True,False,True,0.09090909090909091,0.2727272727272727,0.9,-0.36363636363636365,-0.36363636363636365,-0.36363636363636365,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260908,False,11,11,1,5,10,83.27656894922256,False,False,False,0.09090909090909091,0.2727272727272727,0.5,-1.0,-1.0,-1.0,True,False,offset,-16,78,79.62411694957753,78.40782458970894
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260909,False,11,11,1,5,10,103.49442756175995,False,False,False,0.09090909090909091,0.2727272727272727,0.5,-1.0,-1.0,-1.0,True,False,offset,-16,78,79.62411694957753,78.40782458970894
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-004--offset,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260910,False,11,11,1,5,9,94.65026181936264,False,False,False,0.09090909090909091,0.2727272727272727,0.5,-0.9454545454545454,-0.9454545454545454,-0.9454545454545454,True,False,offset,-25,76,80.00624975587844,71.79151552941917
decision--continuous-fixed-h1--seed20260908--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260908,False,16,8,1,7,15,92.96925181150436,True,False,False,0.125,0.375,0.5714285714285714,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260909--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260909,False,16,8,1,7,15,131.45229828357697,True,False,False,0.125,0.375,0.42857142857142855,-0.9558823529411766,0.8610014688789821,-0.49719803132448265,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260910--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260910,False,16,8,1,7,15,117.68686282634735,True,False,False,0.125,0.375,0.42857142857142855,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260908--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260908,False,16,8,1,7,15,65.23020845651627,True,False,False,0.125,0.375,0.5714285714285714,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260909--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260909,False,16,8,1,7,15,123.6465095281601,True,False,False,0.125,0.375,0.42857142857142855,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260910--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260910,False,16,8,1,7,15,98.67533034086227,True,False,False,0.125,0.375,0.42857142857142855,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260908,False,16,8,1,7,3,74.65563082695007,False,False,True,0.125,0.375,0.8571428571428571,0.0,-0.24253562503633297,-0.9701425001453319,True,False,grid,-40,80,89.44271909999159,63.43494882292201
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260909,False,16,8,1,7,15,92.3274757862091,True,False,True,0.125,0.375,0.7142857142857143,-0.4705882352941176,0.24253562503633297,-0.9701425001453319,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-005--grid,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260910,False,16,8,1,7,15,84.401575922966,True,False,False,0.125,0.375,0.5714285714285714,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260908--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260908,False,11,5,1,5,8,96.09424370527267,False,False,True,0.2,0.6,0.5,-0.9,-0.9,-0.9,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h1--seed20260909--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260909,False,11,5,1,5,5,135.90635234117508,True,True,True,0.2,0.6,1.0,0.13636363636363638,0.13636363636363638,0.13636363636363638,True,True,offset,-58,55,79.93122043357026,43.47923033885623
decision--continuous-fixed-h1--seed20260910--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260910,False,11,5,1,5,6,121.23738318681717,True,False,True,0.2,0.6,0.75,-0.33636363636363636,-0.33636363636363636,-0.33636363636363636,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--continuous-fixed-h5--seed20260908--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260908,False,11,5,1,5,8,76.18962579965591,False,False,True,0.2,0.6,0.5,-0.9454545454545454,-0.9454545454545454,-0.9454545454545454,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h5--seed20260909--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260909,False,11,5,1,5,6,138.59348618984222,True,False,True,0.2,0.6,0.75,-0.4909090909090909,-0.4909090909090909,-0.4909090909090909,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--continuous-fixed-h5--seed20260910--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260910,False,11,5,1,5,6,113.34106981754303,True,False,True,0.2,0.6,0.75,-0.36363636363636365,-0.36363636363636365,-0.36363636363636365,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260908,False,11,5,1,5,8,75.05528539419174,False,False,True,0.2,0.6,0.5,-1.0,-1.0,-1.0,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260909,False,11,5,1,5,8,94.59616833925247,False,False,True,0.2,0.6,0.5,-1.0,-1.0,-1.0,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-005--offset,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260910,False,11,5,1,5,8,88.24290037155151,False,False,True,0.2,0.6,0.5,-0.9,-0.9,-0.9,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h1--seed20260908--issue-77-n1-006--grid,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260908,False,16,16,1,6,15,94.13271307945251,True,False,False,0.0625,0.1875,0.5333333333333333,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260909--issue-77-n1-006--grid,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260909,False,16,16,1,6,15,111.83949053287506,True,False,False,0.0625,0.1875,0.4666666666666667,-0.9558823529411766,0.8610014688789821,-0.49719803132448265,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260910--issue-77-n1-006--grid,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260910,False,16,16,1,6,15,98.54773604869843,True,False,False,0.0625,0.1875,0.4666666666666667,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260908--issue-77-n1-006--grid,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h5,20260908,False,16,16,1,6,15,86.15481758117676,True,False,False,0.0625,0.1875,0.5333333333333333,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260909--issue-77-n1-006--grid,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h5,20260909,False,16,16,1,6,15,123.86862993240356,True,False,False,0.0625,0.1875,0.4666666666666667,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
