    PID COMMAND
    138 [migration/20]
    139 [ksoftirqd/20]
    141 [kworker/20:0H-events_highpri]
    142 [cpuhp/21]
    143 [idle_inject/21]
    144 [migration/21]
    145 [ksoftirqd/21]
    147 [kworker/21:0H-events_highpri]
    148 [cpuhp/22]
    149 [idle_inject/22]
    150 [migration/22]
    151 [ksoftirqd/22]
    153 [kworker/22:0H-events_highpri]
    154 [cpuhp/23]
    155 [idle_inject/23]
    156 [migration/23]
    157 [ksoftirqd/23]
    159 [kworker/23:0H-events_highpri]
    160 [cpuhp/24]
    161 [idle_inject/24]
    162 [migration/24]
    163 [ksoftirqd/24]
    166 [cpuhp/25]
    167 [idle_inject/25]
    168 [migration/25]
    169 [ksoftirqd/25]
    172 [cpuhp/26]
    173 [idle_inject/26]
    174 [migration/26]
    175 [ksoftirqd/26]
    177 [kworker/26:0H-events_highpri]
    178 [cpuhp/27]
    179 [idle_inject/27]
    180 [migration/27]
    181 [ksoftirqd/27]
    183 [kworker/27:0H-kblockd]
    184 [cpuhp/28]
    185 [idle_inject/28]
    186 [migration/28]
    187 [ksoftirqd/28]
    189 [kworker/28:0H-events_highpri]
    190 [cpuhp/29]
    191 [idle_inject/29]
    192 [migration/29]
    193 [ksoftirqd/29]
    195 [kworker/29:0H-events_highpri]
    196 [cpuhp/30]
    197 [idle_inject/30]
    198 [migration/30]
    199 [ksoftirqd/30]
    201 [kworker/30:0H-events_highpri]
    202 [cpuhp/31]
    203 [idle_inject/31]
    204 [migration/31]
    205 [ksoftirqd/31]
    207 [kworker/31:0H-events_highpri]
    208 [cpuhp/32]
    209 [idle_inject/32]
    210 [migration/32]
    211 [ksoftirqd/32]
    213 [kworker/32:0H-events_highpri]
    214 [rcu_exp_par_gp_kthread_worker/3]
    215 [cpuhp/33]
    216 [idle_inject/33]
    217 [migration/33]
    218 [ksoftirqd/33]
    220 [kworker/33:0H-kblockd]
    221 [cpuhp/34]
    222 [idle_inject/34]
    223 [migration/34]
    224 [ksoftirqd/34]
    226 [kworker/34:0H-events_highpri]
    227 [cpuhp/35]
    228 [idle_inject/35]
    229 [migration/35]
    230 [ksoftirqd/35]
    232 [kworker/35:0H-events_highpri]
    233 [cpuhp/36]
    234 [idle_inject/36]
    235 [migration/36]
    236 [ksoftirqd/36]
    238 [kworker/36:0H-events_highpri]
    239 [cpuhp/37]
    240 [idle_inject/37]
    241 [migration/37]
    242 [ksoftirqd/37]
    244 [kworker/37:0H-events_highpri]
    245 [cpuhp/38]
    246 [idle_inject/38]
    247 [migration/38]
    248 [ksoftirqd/38]
    251 [cpuhp/39]
    252 [idle_inject/39]
    253 [migration/39]
    254 [ksoftirqd/39]
    256 [kworker/39:0H-events_highpri]
    257 [cpuhp/40]
    258 [idle_inject/40]
    259 [migration/40]
    260 [ksoftirqd/40]
    262 [kworker/40:0H-events_highpri]
    263 [cpuhp/41]
    264 [idle_inject/41]
    265 [migration/41]
    266 [ksoftirqd/41]
    268 [kworker/41:0H-events_highpri]
    269 [cpuhp/42]
    270 [idle_inject/42]
    271 [migration/42]
    272 [ksoftirqd/42]
    274 [kworker/42:0H-events_highpri]
    275 [cpuhp/43]
    276 [idle_inject/43]
    277 [migration/43]
    278 [ksoftirqd/43]
    280 [kworker/43:0H-events_highpri]
    281 [cpuhp/44]
    282 [idle_inject/44]
    283 [migration/44]
    284 [ksoftirqd/44]
    286 [kworker/44:0H-events_highpri]
    287 [cpuhp/45]
    288 [idle_inject/45]
    289 [migration/45]
    290 [ksoftirqd/45]
    292 [kworker/45:0H-events_highpri]
    293 [cpuhp/46]
    294 [idle_inject/46]
    295 [migration/46]
    296 [ksoftirqd/46]
    298 [kworker/46:0H-events_highpri]
    299 [cpuhp/47]
    300 [idle_inject/47]
    301 [migration/47]
    302 [ksoftirqd/47]
    304 [kworker/47:0H-events_highpri]
    309 [kdevtmpfs]
    310 [kworker/R-inet_frag_wq]
    311 [rcu_tasks_kthread]
    312 [rcu_tasks_rude_kthread]
    313 [rcu_tasks_trace_kthread]
    314 [kauditd]
    315 [khungtaskd]
    317 [oom_reaper]
    319 [kworker/R-writeback]
    320 [kcompactd0]
    321 [ksmd]
    322 [khugepaged]
    323 [kworker/R-kblockd]
    324 [kworker/R-blkcg_punt_bio]
    325 [kworker/R-kintegrityd]
    326 [irq/9-acpi]
    328 [kworker/R-tpm_dev_wq]
    329 [kworker/R-ata_sff]
    330 [kworker/R-md]
    331 [kworker/R-md_bitmap]
    332 [kworker/R-edac-poller]
    334 [kworker/R-devfreq_wq]
    335 [watchdogd]
    337 [kworker/R-quota_events_unbound]
    340 [irq/27-AMD-Vi0-Evt]
    341 [irq/28-AMD-Vi0-PPR]
    342 [irq/29-AMD-Vi0-GA]
    343 [irq/30-AMD-Vi1-Evt]
    344 [irq/31-AMD-Vi1-PPR]
    345 [irq/32-AMD-Vi1-GA]
    346 [irq/33-AMD-Vi2-Evt]
    347 [irq/34-AMD-Vi2-PPR]
    348 [irq/35-AMD-Vi2-GA]
    349 [irq/36-AMD-Vi3-Evt]
    350 [irq/37-AMD-Vi3-PPR]
    351 [irq/38-AMD-Vi3-GA]
    353 [kswapd0]
    354 [ecryptfs-kthread]
    355 [kworker/R-kthrotld]
    356 [kworker/u197:0-hci0]
    357 [kworker/R-acpi_thermal_pm]
    366 [kworker/R-mld]
    368 [kworker/R-ipv6_addrconf]
    369 [kworker/R-kstrp]
    387 [kworker/u198:0]
    388 [kworker/u199:0]
    389 [kworker/u200:0]
    390 [kworker/u201:0]
    403 [kworker/R-charger_manager]
    404 [kworker/1:1H-kblockd]
    431 [kworker/5:1H-kblockd]
    456 [kworker/3:1H-xfs-log/sdd1]
    458 [kworker/25:1H-kblockd]
    459 [kworker/28:1H-xfs-log/sdd1]
    460 [kworker/29:1H-kblockd]
    461 [kworker/2:1H-xfs-log/sdd1]
    462 [kworker/4:1H-xfs-log/sdd1]
    463 [kworker/16:1H-kblockd]
    465 [kworker/17:1H-kblockd]
    466 [kworker/36:1H-kblockd]
    467 [kworker/37:1H-kblockd]
    469 [kworker/45:1H-kblockd]
    473 [kworker/34:1H-kblockd]
    475 [kworker/35:1H-kblockd]
    481 [kworker/39:1H-kblockd]
    487 [kworker/44:1H-kblockd]
    496 [kworker/38:1H-kblockd]
    497 [kworker/26:1H-kblockd]
    504 [kworker/14:1H-kblockd]
    505 [kworker/40:1H-kblockd]
    506 [kworker/41:1H-kblockd]
    507 [kworker/15:1H-kblockd]
    514 [kworker/9:1H-kblockd]
    525 [scsi_eh_0]
    526 [kworker/R-scsi_tmf_0]
    527 [scsi_eh_1]
    528 [kworker/R-scsi_tmf_1]
    529 [scsi_eh_2]
    530 [kworker/R-scsi_tmf_2]
    531 [scsi_eh_3]
    532 [kworker/R-scsi_tmf_3]
    533 [kworker/R-atlantic]
    534 [scsi_eh_4]
    536 [kworker/R-scsi_tmf_4]
    538 [kworker/19:1H-kblockd]
    539 [kworker/21:1H-kblockd]
    542 [kworker/20:1H-kblockd]
    543 [kworker/10:1H-kblockd]
    545 [kworker/47:1H-kblockd]
    546 [kworker/23:1H-kblockd]
    550 [kworker/42:1H-kblockd]
    552 [scsi_eh_5]
    553 [kworker/R-scsi_tmf_5]
    554 [kworker/R-nvme-wq]
    559 [kworker/R-nvme-reset-wq]
    561 [kworker/R-nvme-delete-wq]
    564 [kworker/R-nvme-auth-wq]
    568 [kworker/7:1H-kblockd]
    610 [kworker/22:1H-kblockd]
    611 [kworker/32:1H-kblockd]
    622 [kworker/31:1H-kblockd]
    623 [kworker/30:1H-kblockd]
    637 /usr/sbin/plymouthd --mode=boot --attach-to-session --pid-file=/run/plymouth/pid
    705 [jbd2/nvme0n1p2-8]
    706 [kworker/R-ext4-rsv-conversion]
    713 [kworker/43:1H-kblockd]
    714 [kworker/13:1H-kblockd]
    715 [kworker/33:1H]
    762 /usr/lib/systemd/systemd-journald
    802 [kworker/18:1H-kblockd]
    804 /usr/lib/systemd/systemd-udevd
    844 mergerfs /mnt/internal/SSD1:/mnt/internal/SSD2:/mnt/internal/SSD3:/mnt/internal/SSD4 /mnt/array -o rw,allow_other,use_ino,category.create=mfs,moveonenospc=true,minfreespace=50G,fsname=1:2:3:4,dev,suid
    903 [psimon]
    926 [kworker/8:1H-kblockd]
    927 [kworker/11:1H-kblockd]
   1154 [kworker/R-cfg80211]
   1169 [nv_queue]
   1170 [nv_mem_pool_scrubber_queue]
   1171 [nv_mem_pool_scrubber_queue]
   1172 [nv_mem_pool_scrubber_queue]
   1173 [nv_queue]
   1174 [nv_open_q]
   1175 [nv_open_q]
   1176 [nv_open_q]
   1203 [kworker/R-led_workqueue]
   1205 [kworker/u197:1-hci0]
   1207 [nv_open_q]
   1243 [nvidia-modeset/kthread_q]
   1244 [nvidia-modeset/deferred_close_kthread_q]
   1246 [irq/143-nvidia]
   1247 [irq/144-nvidia]
   1248 [irq/145-nvidia]
   1249 [irq/146-nvidia]
   1250 [irq/147-nvidia]
   1251 [irq/148-nvidia]
   1252 [irq/149-nvidia]
   1253 [irq/150-nvidia]
   1254 [nvidia]
   1255 [nv_queue]
   1265 [napi/phy0-0]
   1266 [napi/phy0-0]
   1461 /usr/lib/systemd/systemd-oomd
   1462 /usr/lib/systemd/systemd-resolved
   1463 /usr/lib/systemd/systemd-timesyncd
   1482 [kworker/R-xfsalloc]
   1483 [kworker/R-xfs_mru_cache]
   1484 [kworker/R-xfs-buf/sdb1]
   1485 [kworker/R-xfs-conv/sdb1]
   1486 [kworker/R-xfs-buf/sdd1]
   1487 [kworker/R-xfs-buf/sda1]
   1488 [kworker/R-xfs-conv/sda1]
   1489 [kworker/R-xfs-buf/sdc1]
   1490 [kworker/R-xfs-conv/sdc1]
   1491 [kworker/R-xfs-reclaim/sdb1]
   1492 [kworker/R-xfs-blockgc/sdb1]
   1493 [kworker/R-xfs-conv/sdd1]
   1494 [kworker/R-xfs-reclaim/sdd1]
   1495 [kworker/R-xfs-reclaim/sda1]
   1496 [kworker/R-xfs-blockgc/sda1]
   1497 [kworker/R-xfs-reclaim/sdc1]
   1498 [kworker/R-xfs-inodegc/sdb1]
   1499 [kworker/R-xfs-blockgc/sdd1]
   1500 [kworker/R-xfs-inodegc/sdd1]
   1501 [kworker/R-xfs-inodegc/sda1]
   1502 [kworker/R-xfs-blockgc/sdc1]
   1503 [kworker/R-xfs-inodegc/sdc1]
   1504 [kworker/R-xfs-log/sda1]
   1505 [kworker/R-xfs-cil/sda1]
   1506 [xfsaild/sda1]
   1507 [kworker/R-xfs-log/sdb1]
   1508 [kworker/R-xfs-cil/sdb1]
   1509 [xfsaild/sdb1]
   1510 [kworker/R-xfs-log/sdc1]
   1511 [kworker/R-xfs-cil/sdc1]
   1512 [xfsaild/sdc1]
   1513 [kworker/R-xfs-log/sdd1]
   1514 [kworker/R-xfs-cil/sdd1]
   1515 [xfsaild/sdd1]
   1558 avahi-daemon: running [ansr-5090-5.local]
   1559 /usr/libexec/bluetooth/bluetoothd
   1560 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1564 /usr/libexec/gnome-remote-desktop-daemon --system
   1568 /usr/lib/polkit-1/polkitd --no-debug
   1572 /usr/libexec/power-profiles-daemon
   1587 /usr/sbin/cron -f -P
   1589 /usr/libexec/switcheroo-control
   1595 /usr/lib/systemd/systemd-logind
   1596 /usr/lib/systemd/systemd-machined
   1598 /usr/libexec/udisks2/udisksd
   1599 /usr/sbin/virtlockd
   1601 /usr/sbin/virtlogd
   1637 avahi-daemon: chroot helper
   1638 /usr/sbin/NetworkManager --no-daemon
   1639 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   1753 /usr/sbin/ModemManager
   1772 [mt76-tx phy0]
   1808 [irq/155-nvidia]
   1809 [irq/156-nvidia]
   1810 [irq/157-nvidia]
   1811 [irq/158-nvidia]
   1812 [irq/159-nvidia]
   1813 [irq/160-nvidia]
   1814 [irq/161-nvidia]
   1815 [irq/162-nvidia]
   1816 [nvidia]
   1817 [nv_queue]
   2013 [irq/163-nvidia]
   2015 [irq/164-nvidia]
   2016 [irq/165-nvidia]
   2017 [irq/166-nvidia]
   2018 [irq/167-nvidia]
   2019 [irq/168-nvidia]
   2020 [irq/169-nvidia]
   2021 [irq/170-nvidia]
   2022 [nvidia]
   2023 [nv_queue]
   2050 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   2058 /usr/bin/plymouth --wait
   2059 /usr/bin/containerd
   2067 /usr/sbin/xrdp-sesman
   2106 /usr/sbin/xrdp
   2188 [irq/110-enp97s0]
   2194 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/ansr-172-16-84.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   2195 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/ansr-172-16-84.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   2223 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   2224 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   2249 [irq/171-nvidia]
   2250 [irq/172-nvidia]
   2251 [irq/173-nvidia]
   2252 [irq/174-nvidia]
   2253 [irq/175-nvidia]
   2254 [irq/176-nvidia]
   2255 [irq/177-nvidia]
   2256 [irq/178-nvidia]
   2258 [nvidia]
   2259 [nv_queue]
   2548 [UVM global queue]
   2550 [UVM deferred release queue]
   2551 [UVM Tools Event Queue]
   2649 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
   2805 /usr/sbin/gdm3
   2871 gdm-session-worker [pam/gdm-launch-environment]
   2878 /usr/lib/systemd/systemd --user
   2879 (sd-pam)
   2890 /usr/bin/pipewire
   2891 /usr/bin/pipewire -c filter-chain.conf
   2893 /usr/bin/wireplumber
   2894 /usr/bin/pipewire-pulse
   2895 /usr/libexec/gdm-x-session dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   2897 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/120/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   2903 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2908 /usr/libexec/rtkit-daemon
   2955 /usr/libexec/xdg-document-portal
   2959 /usr/libexec/xdg-permission-store
   2966 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/120/doc
   3040 [nvidia-drm/timeline-11]
   3041 [nvidia-drm/timeline-12]
   3042 [nvidia-drm/timeline-13]
   3043 [nvidia-drm/timeline-14]
   3053 dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   3054 dbus-daemon --nofork --print-address 4 --session
   3055 /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
   3058 /usr/libexec/at-spi-bus-launcher
   3064 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/120/at-spi/bus_0
   3075 /usr/bin/gnome-shell
   3094 [nvidia-drm/timeline-16]
   3095 /usr/libexec/mutter-x11-frames
   3098 /usr/libexec/at-spi2-registryd --use-gnome-session
   3099 /usr/libexec/colord
   3136 /usr/libexec/xdg-permission-store
   3146 /usr/libexec/upowerd
   3147 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   3162 /usr/libexec/gsd-sharing
   3168 /usr/libexec/gsd-wacom
   3172 /usr/libexec/gsd-color
   3176 /usr/libexec/gsd-keyboard
   3181 /usr/libexec/gsd-print-notifications
   3185 /usr/libexec/gsd-rfkill
   3191 /usr/libexec/gsd-smartcard
   3193 /usr/libexec/gsd-datetime
   3199 /usr/libexec/gsd-media-keys
   3212 /usr/libexec/gsd-screensaver-proxy
   3215 /usr/libexec/gsd-sound
   3223 /usr/libexec/gsd-a11y-settings
   3225 ibus-daemon --panel disable --xim
   3230 /usr/libexec/gsd-housekeeping
   3247 /usr/libexec/gsd-power
   3309 /usr/libexec/ibus-dconf
   3314 /usr/libexec/ibus-x11 --kill-daemon
   3317 /usr/libexec/ibus-portal
   3349 /usr/libexec/ibus-engine-simple
   3351 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   3406 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
   3409 /usr/sbin/kerneloops --test
   3414 /usr/sbin/kerneloops
   3713 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 032859c46604694e790a9a186a892039b622acc85ff5022bfc712310e35262ec -address /run/containerd/containerd.sock
   3735 python -u /cloudflare-ddns.py --repeat
   3862 /usr/libexec/gsd-printer
   3931 [krfcommd]
   4239 [kworker/R-tls-strp]
   4693 /usr/libexec/fwupd/fwupd
   4720 /usr/lib/systemd/systemd --user
   4726 (sd-pam)
   4738 /usr/bin/pipewire
   4739 /usr/bin/pipewire -c filter-chain.conf
   4741 /usr/bin/wireplumber
   4742 /usr/bin/pipewire-pulse
   4770 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   4840 /usr/libexec/xdg-document-portal
   4845 /usr/libexec/xdg-permission-store
   4853 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1002/doc
   6590 /home/sukai/.cargo/bin/zellij --server /run/user/1002/zellij/contract_version_1/novphy
   6617 /usr/bin/zsh
   6855 /usr/bin/zsh
   6940 /home/sukai/.local/share/pipx/venvs/nvitop/bin/python /home/sukai/.local/bin/nvitop
   9645 [kworker/20:0-cgroup_free]
  25663 /home/sukai/.local/share/fnm/node-versions/v24.12.0/installation/bin/node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/codegraph/dist/serve.js
  25670 node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/lsp-daemon/dist/cli.js mcp
  25692 /home/sukai/.omo/codegraph/node --liftoff-only --disable-warning=ExperimentalWarning /home/sukai/.omo/codegraph/lib/dist/bin/codegraph.js serve --mcp
  32814 [kworker/19:2-mm_percpu_wq]
  80146 /home/sukai/.local/share/fnm/node-versions/v24.12.0/installation/bin/node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/codegraph/dist/serve.js
  80156 node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/lsp-daemon/dist/cli.js mcp
  80192 /home/sukai/.omo/codegraph/node --liftoff-only --disable-warning=ExperimentalWarning /home/sukai/.omo/codegraph/lib/dist/bin/codegraph.js serve --mcp
  98455 /home/sukai/.local/share/fnm/node-versions/v24.12.0/installation/bin/node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/codegraph/dist/serve.js
  98462 node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/lsp-daemon/dist/cli.js mcp
  98483 /home/sukai/.omo/codegraph/node --liftoff-only --disable-warning=ExperimentalWarning /home/sukai/.omo/codegraph/lib/dist/bin/codegraph.js serve --mcp
 116604 [kworker/37:2-xfs-sync/sdc1]
 173614 [kworker/42:0-xfs-sync/sdc1]
 174647 [kworker/35:0-mm_percpu_wq]
 191571 [kworker/34:1-xfs-sync/sda1]
 216804 [kworker/7:2-cgroup_free]
 238242 [kworker/43:1-cgroup_free]
 317266 [kworker/46:1-mm_percpu_wq]
 318275 [kworker/41:1-xfs-sync/sdb1]
 348043 [kworker/46:0-xfs-conv/sdb1]
 350502 [kworker/38:2-events]
 362646 node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/lsp-daemon/dist/cli.js mcp
 362648 /home/sukai/.local/share/fnm/node-versions/v24.12.0/installation/bin/node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/codegraph/dist/serve.js
 362712 /home/sukai/.omo/codegraph/node --liftoff-only --disable-warning=ExperimentalWarning /home/sukai/.omo/codegraph/lib/dist/bin/codegraph.js serve --mcp
 363393 [kworker/45:1-events]
 400912 [kworker/40:0]
 401137 [kworker/45:0]
 405285 [kworker/8:0-events]
 407674 [kworker/6:3-xfs-sync/sda1]
 408804 [kworker/32:1-mm_percpu_wq]
 411104 [kworker/21:1-mm_percpu_wq]
 415333 [kworker/39:0-mm_percpu_wq]
 415910 [kworker/33:0-mm_percpu_wq]
 421088 /usr/libexec/gvfsd
 421095 /usr/libexec/gvfsd-fuse /run/user/1002/gvfs -f
 430036 [kworker/44:0]
 430183 [kworker/40:1-mm_percpu_wq]
 430346 [kworker/42:2-mm_percpu_wq]
 431218 [kworker/22:0-mm_percpu_wq]
 437792 [kworker/10:0-events]
 443947 [kworker/41:0-mm_percpu_wq]
 459088 [kworker/35:2]
 462294 [kworker/18:0-events]
 470915 [kworker/36:0-events]
 479497 [kworker/14:1-events]
 486023 [kworker/6:0-mm_percpu_wq]
 488876 [kworker/16:1-events_freezable]
 490293 [kworker/36:1]
 497826 /home/sukai/.local/share/fnm/node-versions/v24.12.0/installation/bin/node /home/sukai/.npm/_npx/02ade080a575d4c0/node_modules/lazycodex-ai/packages/lsp-daemon/dist/cli.js daemon
 499559 [kworker/20:2-mm_percpu_wq]
 501339 [kworker/22:2-cgroup_free]
 501659 [kworker/32:2-events]
 504770 [kworker/43:0-mm_percpu_wq]
 505598 [kworker/18:1-events]
 507606 [kworker/17:1-events]
 508408 [kworker/30:0-xfs-sync/sdc1]
 509641 [kworker/29:0-mm_percpu_wq]
 509830 [kworker/25:3-xfs-sync/sdc1]
 510858 [kworker/28:4-xfs-sync/sdd1]
 510877 [kworker/5:1-mm_percpu_wq]
 511333 [kworker/13:0-events]
 512814 [kworker/7:0-events]
 514566 node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/lsp-daemon/dist/cli.js mcp
 514568 /home/sukai/.local/share/fnm/node-versions/v24.12.0/installation/bin/node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/codegraph/dist/serve.js
 514614 /home/sukai/.omo/codegraph/node --liftoff-only --disable-warning=ExperimentalWarning /home/sukai/.omo/codegraph/lib/dist/bin/codegraph.js serve --mcp
 524221 [kworker/23:2-events]
 524249 [kworker/16:2]
 525035 [kworker/34:0-mm_percpu_wq]
 529050 [kworker/u192:0-atlantic]
 531509 [kworker/u196:5-kvfree_rcu_reclaim]
 531769 [kworker/1:0-xfs-sync/sdc1]
 531988 [kworker/14:2-mm_percpu_wq]
 534530 [kworker/2:1-mm_percpu_wq]
 535970 [kworker/11:4-xfs-sync/sdb1]
 536200 [kworker/26:1-mm_percpu_wq]
 536550 [kworker/u194:7-kvfree_rcu_reclaim]
 536567 /home/sukai/.local/share/fnm/node-versions/v24.12.0/installation/bin/node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/codegraph/dist/serve.js
 536590 node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/lsp-daemon/dist/cli.js mcp
 536605 /home/sukai/.omo/codegraph/node --liftoff-only --disable-warning=ExperimentalWarning /home/sukai/.omo/codegraph/lib/dist/bin/codegraph.js serve --mcp
 537880 [kworker/37:0-mm_percpu_wq]
 538985 [kworker/u196:0-events_unbound]
 539405 [kworker/4:0-xfs-sync/sdd1]
 539466 [kworker/25:2-mm_percpu_wq]
 541034 [kworker/15:2-mm_percpu_wq]
 541200 [kworker/31:2-mm_percpu_wq]
 541512 [kworker/27:1-events]
 542205 [kworker/u194:3-events_power_efficient]
 542222 /home/sukai/.local/share/fnm/node-versions/v24.12.0/installation/bin/node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/codegraph/dist/serve.js
 542230 node /home/sukai/.codex/plugins/cache/sisyphuslabs/omo/4.19.3/components/lsp-daemon/dist/cli.js mcp
 542266 /home/sukai/.omo/codegraph/node --liftoff-only --disable-warning=ExperimentalWarning /home/sukai/.omo/codegraph/lib/dist/bin/codegraph.js serve --mcp
 543112 [kworker/24:0-xfs-sync/sda1]
 544180 [kworker/23:0-events]
 544218 [kworker/15:0-events]
