cell_identity,state,source_member,family,exposure_role,system,seed,typed_failure,n_candidates,verdict_slots,n_successes,successful_ordinals,chosen_ordinal,chosen_predicted_cost,chosen_in_success_band,top1_hit,top3_hit,chance_top1,chance_top3,auc,spearman_ordinal,spearman_drag_x,spearman_drag_y,bound_issue87_only,first_shot_success_issue87_only,arm,drag_x,drag_y,radius,angle_deg,radius_px,realized_angle_deg,expected_speed,realized_speed
decision--continuous-fixed-h1--seed20260909--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260909,False,20,20,0,,14,79.31447279453278,False,,,,,,-0.30075187969924805,0.8391728628668627,-0.8176358498077012,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260910--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260910,False,20,20,0,,14,80.28202450275421,False,,,,,,-0.3684210526315789,0.7984948246309465,-0.85154701408544,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260908--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260908,False,20,20,0,,19,26.259884387254715,False,,,,,,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h5--seed20260909--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260909,False,20,20,0,,14,58.78594434261322,False,,,,,,-0.3984962406015037,0.7849354785523078,-0.8620971540829587,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260910--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260910,False,20,20,0,,14,63.45052230358124,False,,,,,,-0.3984962406015037,0.7849354785523078,-0.8620971540829587,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260908,False,20,20,0,,19,46.238156914711,False,,,,,,-0.8406015037593983,0.2583808724985044,-0.9593091583458099,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260909,False,20,20,0,,19,58.522146582603455,False,,,,,,-0.6781954887218045,0.5145018539839024,-0.9917131597667601,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260910,False,20,20,0,,19,53.72624325752258,False,,,,,,-0.4827067669172932,0.7216585301853271,-0.9156014354989465,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260908--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260908,False,20,20,1,13,19,102.8556957244873,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260909--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260909,False,20,20,1,13,14,142.47633373737335,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.30075187969924805,0.8391728628668627,-0.8176358498077012,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260910--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260910,False,20,20,1,13,14,127.58599406480789,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.3383458646616541,0.8218470317663799,-0.835721804089162,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260908--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260908,False,20,20,1,13,19,82.72026985883713,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h5--seed20260909--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260909,False,20,20,1,13,14,142.64875555038452,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260910--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260910,False,20,20,1,13,14,110.65198874473572,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260908,False,20,20,1,13,19,83.52104878425598,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.8646616541353382,0.1725050140004592,-0.9163550169273407,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260909,False,20,20,1,13,19,103.65764254331589,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.6781954887218045,0.5145018539839024,-0.9917131597667601,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-004--power,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260910,False,20,20,1,13,19,94.65802556276321,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.4827067669172932,0.7216585301853271,-0.9156014354989465,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260908--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260908,False,20,15,1,13,14,96.21274667978287,False,False,False,0.06666666666666667,0.19999999999999996,0.7142857142857143,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260909--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260909,False,20,15,1,13,14,135.9625661969185,False,False,False,0.06666666666666667,0.19999999999999996,0.7857142857142857,-0.2781954887218045,0.8534855059498702,-0.801057058383029,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260910--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260910,False,20,15,1,13,14,121.26780515909195,False,False,False,0.06666666666666667,0.19999999999999996,0.7857142857142857,-0.3383458646616541,0.8218470317663799,-0.835721804089162,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260908--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260908,False,20,15,1,13,14,76.77990752458572,False,False,False,0.06666666666666667,0.19999999999999996,0.7142857142857143,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260909--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260909,False,20,15,1,13,14,138.7360042333603,False,False,False,0.06666666666666667,0.19999999999999996,0.7857142857142857,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260910--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260910,False,20,15,1,13,14,113.47730326652527,False,False,False,0.06666666666666667,0.19999999999999996,0.7857142857142857,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260908,False,20,15,1,13,14,75.78648233413696,False,False,False,0.06666666666666667,0.19999999999999996,0.7857142857142857,-0.8556390977443609,0.19887040915336782,-0.9306730640668305,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260909,False,20,15,1,13,14,95.4466644525528,False,False,False,0.06666666666666667,0.19999999999999996,0.7142857142857143,-0.6781954887218045,0.5145018539839024,-0.9917131597667601,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-005--power,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,hybrid-fixed-h1,20260910,False,20,15,1,13,14,88.42305397987366,False,False,False,0.06666666666666667,0.19999999999999996,0.7142857142857143,-0.4827067669172932,0.7216585301853271,-0.9156014354989465,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260908--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260908,False,20,20,1,9,19,97.26663309335709,False,False,True,0.05,0.15000000000000002,0.8947368421052632,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260909--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260909,False,20,20,1,9,14,116.4592856168747,False,False,True,0.05,0.15000000000000002,0.9473684210526315,-0.2781954887218045,0.8534855059498702,-0.801057058383029,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260910--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260910,False,20,20,1,9,14,102.28522837162018,False,False,True,0.05,0.15000000000000002,0.9473684210526315,-0.3383458646616541,0.8218470317663799,-0.835721804089162,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260908--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h5,20260908,False,20,20,1,9,19,97.20824456214905,False,False,True,0.05,0.15000000000000002,0.8947368421052632,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h5--seed20260909--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h5,20260909,False,20,20,1,9,14,139.52757757902145,False,False,True,0.05,0.15000000000000002,0.8947368421052632,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260910--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h5,20260910,False,20,20,1,9,14,59.271880984306335,False,False,True,0.05,0.15000000000000002,0.8947368421052632,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,hybrid-fixed-h1,20260908,False,20,20,1,9,19,55.92651516199112,False,False,True,0.05,0.15000000000000002,0.8947368421052632,-0.8240601503759398,0.28700615866451945,-0.9630770654877807,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,hybrid-fixed-h1,20260909,False,20,20,1,9,19,86.2670105099678,False,False,True,0.05,0.15000000000000002,0.8947368421052632,-0.6601503759398496,0.5371007641149669,-0.987191671196395,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-006--power,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,hybrid-fixed-h1,20260910,False,20,20,1,9,14,88.77675598859787,False,False,True,0.05,0.15000000000000002,0.8947368421052632,-0.3684210526315789,0.8075343886833724,-0.8470255255150748,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260908--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260908,False,20,20,1,13,19,85.92456465959549,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260909--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260909,False,20,20,1,13,14,95.10604619979858,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.30075187969924805,0.8391728628668627,-0.8176358498077012,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260910--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260910,False,20,20,1,13,14,77.33293813467026,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.3383458646616541,0.8218470317663799,-0.835721804089162,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260908--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h5,20260908,False,20,20,1,13,19,103.2951027750969,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h5--seed20260909--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h5,20260909,False,20,20,1,13,14,98.77673333883286,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260910--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h5,20260910,False,20,20,1,13,14,15.65713070333004,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.3684210526315789,0.7984948246309465,-0.85154701408544,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,hybrid-fixed-h1,20260908,False,20,20,1,13,19,59.03168070316315,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.8556390977443609,0.19887040915336782,-0.9306730640668305,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,hybrid-fixed-h1,20260909,False,20,20,1,13,19,69.88973444700241,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.6781954887218045,0.5145018539839024,-0.9917131597667601,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-007--power,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,hybrid-fixed-h1,20260910,False,20,20,1,13,19,69.16307657957077,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.6601503759398496,0.5371007641149669,-0.987191671196395,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260908--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260908,False,20,20,1,13,19,88.19341510534286,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.4827067669172932,0.7216585301853271,-0.9156014354989465,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260909--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260909,False,20,20,1,13,14,109.30050724744797,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.2781954887218045,0.8534855059498702,-0.801057058383029,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260910--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260910,False,20,20,1,13,14,94.55116266012192,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.3383458646616541,0.8218470317663799,-0.835721804089162,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260908--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h5,20260908,False,20,20,1,13,19,83.18225055932999,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h5--seed20260909--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h5,20260909,False,20,20,1,13,14,133.15381467342377,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.3684210526315789,0.7984948246309465,-0.85154701408544,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260910--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h5,20260910,False,20,20,1,13,14,53.50011444091797,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,hybrid-fixed-h1,20260908,False,20,20,1,13,19,48.50936895608902,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.8240601503759398,0.28700615866451945,-0.9630770654877807,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,hybrid-fixed-h1,20260909,False,20,20,1,13,19,75.79230183362961,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.6601503759398496,0.5371007641149669,-0.987191671196395,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-008--power,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,hybrid-fixed-h1,20260910,False,20,20,1,13,14,81.96782648563385,False,False,False,0.05,0.15000000000000002,0.7894736842105263,-0.2781954887218045,0.8534855059498702,-0.801057058383029,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260908--issue-77-n1-009--power,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260908,False,20,20,1,8,19,58.5922811627388,False,False,False,0.05,0.15000000000000002,0.6842105263157895,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260909--issue-77-n1-009--power,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260909,False,20,20,1,8,14,88.42440378665924,False,False,False,0.05,0.15000000000000002,0.7368421052631579,-0.3383458646616541,0.8218470317663799,-0.835721804089162,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260910--issue-77-n1-009--power,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260910,False,20,20,1,8,14,78.34129363298416,False,False,False,0.05,0.15000000000000002,0.6842105263157895,-0.4120300751879699,0.7751426174955133,-0.8741544569372657,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260908--issue-77-n1-009--power,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h5,20260908,False,20,20,1,8,19,32.71119572222233,False,False,False,0.05,0.15000000000000002,0.6842105263157895,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,False,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h5--seed20260909--issue-77-n1-009--power,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h5,20260909,False,20,20,1,8,14,79.92423069477081,False,False,False,0.05,0.15000000000000002,0.6842105263157895,-0.4120300751879699,0.7751426174955133,-0.8741544569372657,True,False,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
