cell_identity,state,source_member,family,exposure_role,system,seed,typed_failure,n_candidates,verdict_slots,n_successes,successful_ordinals,chosen_ordinal,chosen_predicted_cost,chosen_in_success_band,top1_hit,top3_hit,chance_top1,chance_top3,auc,spearman_ordinal,spearman_drag_x,spearman_drag_y,bound_issue87_only,first_shot_success_issue87_only
decision--continuous-fixed-h1--seed20260908--issue-77-n1-008-a05,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260908,False,13,13,0,,9,88.1470176577568,False,,,,,,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-008-a12,issue-77-n1-008-a12,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260908,False,13,13,0,,9,88.1470176577568,False,,,,,,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-009-a00,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260908,False,13,13,0,,9,58.5596621632576,False,,,,,,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-009-a09,issue-77-n1-009-a09,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260908,False,13,13,0,,9,58.5596621632576,False,,,,,,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,False,
decision--continuous-fixed-h1--seed20260908--issue-77-n1-010-a06,issue-77-n1-010-a06,issue-77-n1-010,type010105,training,continuous-fixed-h1,20260908,False,13,13,1,2,9,89.84768515825272,False,False,False,0.07692307692307693,0.23076923076923073,0.16666666666666666,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-011-a02,issue-77-n1-011-a02,issue-77-n1-011,type010105,training,continuous-fixed-h1,20260908,False,13,13,1,4,9,59.995381474494934,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-011-a11,issue-77-n1-011-a11,issue-77-n1-011,type010105,training,continuous-fixed-h1,20260908,False,13,13,1,4,9,59.995381474494934,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-012-a08,issue-77-n1-012-a08,issue-77-n1-012,type010105,training,continuous-fixed-h1,20260908,False,13,13,1,4,9,71.89257395267487,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-013-a04,issue-77-n1-013-a04,issue-77-n1-013,type010105,training,continuous-fixed-h1,20260908,False,13,13,0,,9,78.277881026268,False,,,,,,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,False,
decision--continuous-fixed-h1--seed20260908--issue-77-n1-014-a01,issue-77-n1-014-a01,issue-77-n1-014,type010105,calibration,continuous-fixed-h1,20260908,False,13,13,1,4,9,51.842228174209595,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,False,
decision--continuous-fixed-h1--seed20260908--issue-77-n1-014-a10,issue-77-n1-014-a10,issue-77-n1-014,type010105,calibration,continuous-fixed-h1,20260908,False,13,13,1,4,9,51.842228174209595,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-015-a06,issue-77-n1-015-a06,issue-77-n1-015,type010105,training,continuous-fixed-h1,20260908,False,13,13,0,,9,69.35543382167816,False,,,,,,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-016-a03,issue-77-n1-016-a03,issue-77-n1-016,type010105,calibration,continuous-fixed-h1,20260908,False,13,13,1,3,9,42.47225034236908,False,False,False,0.07692307692307693,0.23076923076923073,0.25,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-016-a12,issue-77-n1-016-a12,issue-77-n1-016,type010105,calibration,continuous-fixed-h1,20260908,False,13,13,1,3,9,42.47225034236908,False,False,False,0.07692307692307693,0.23076923076923073,0.25,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-001-a00,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260909,False,12,12,1,6,7,101.91143298149109,False,False,True,0.08333333333333333,0.25,0.9090909090909091,-0.18881118881118883,-0.19264477879304523,-0.1958041958041958,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-001-a07,issue-77-n1-001-a07,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260909,False,12,12,1,6,7,101.91143298149109,False,False,True,0.08333333333333333,0.25,0.9090909090909091,-0.18881118881118883,-0.19264477879304523,-0.1958041958041958,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-003-a00,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260909,False,9,9,0,,7,79.24046301841736,False,,,,,,-0.41666666666666663,-0.4267819784654187,-0.43333333333333335,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-003-a10,issue-77-n1-003-a10,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260909,False,9,9,0,,7,79.24046301841736,False,,,,,,-0.41666666666666663,-0.4267819784654187,-0.43333333333333335,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-004-a07,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260909,False,9,9,0,,7,142.3982589840889,False,,,,,,0.049999999999999996,0.049999999999999996,0.049999999999999996,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-005-a07,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260909,True,0,3,1,7,,,,,,,,,,,,False,
decision--continuous-fixed-h1--seed20260909--issue-77-n1-006-a05,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260909,False,13,13,1,5,7,116.37682062387466,False,False,True,0.07692307692307693,0.23076923076923073,0.8333333333333334,0.010989010989010988,0.005502068478807295,0.0,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-006-a11,issue-77-n1-006-a11,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260909,False,13,13,1,5,7,116.37682062387466,False,False,True,0.07692307692307693,0.23076923076923073,0.8333333333333334,0.010989010989010988,0.005502068478807295,0.0,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-007-a05,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260909,False,13,13,0,,7,95.02866894006729,False,,,,,,-0.049450549450549455,-0.0522696505486693,-0.054945054945054944,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-007-a12,issue-77-n1-007-a12,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260909,False,13,13,0,,7,95.02866894006729,False,,,,,,-0.049450549450549455,-0.0522696505486693,-0.054945054945054944,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-008-a05,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260909,False,13,13,0,,7,109.21741884946823,False,,,,,,0.010989010989010988,0.005502068478807295,0.0,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-008-a12,issue-77-n1-008-a12,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260909,False,13,13,0,,7,109.21741884946823,False,,,,,,0.010989010989010988,0.005502068478807295,0.0,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-009-a00,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260909,False,13,13,0,,7,88.36099016666412,False,,,,,,-0.3186813186813187,-0.3218710060102268,-0.32417582417582413,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-009-a09,issue-77-n1-009-a09,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260909,False,13,13,0,,7,88.36099016666412,False,,,,,,-0.3186813186813187,-0.3218710060102268,-0.32417582417582413,False,
decision--continuous-fixed-h1--seed20260909--issue-77-n1-010-a06,issue-77-n1-010-a06,issue-77-n1-010,type010105,training,continuous-fixed-h1,20260909,False,13,13,1,2,7,111.64781993627548,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,0.010989010989010988,0.005502068478807295,0.0,False,
decision--continuous-fixed-h1--seed20260909--issue-77-n1-011-a02,issue-77-n1-011-a02,issue-77-n1-011,type010105,training,continuous-fixed-h1,20260909,False,13,13,1,4,7,86.01097798347473,False,False,False,0.07692307692307693,0.23076923076923073,0.6666666666666666,-0.049450549450549455,-0.0522696505486693,-0.054945054945054944,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-011-a11,issue-77-n1-011-a11,issue-77-n1-011,type010105,training,continuous-fixed-h1,20260909,False,13,13,1,4,7,86.01097798347473,False,False,False,0.07692307692307693,0.23076923076923073,0.6666666666666666,-0.049450549450549455,-0.0522696505486693,-0.054945054945054944,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-012-a08,issue-77-n1-012-a08,issue-77-n1-012,type010105,training,continuous-fixed-h1,20260909,False,13,13,1,4,7,100.49510186910629,False,False,False,0.07692307692307693,0.23076923076923073,0.5833333333333334,-0.3186813186813187,-0.3218710060102268,-0.32417582417582413,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-013-a04,issue-77-n1-013-a04,issue-77-n1-013,type010105,training,continuous-fixed-h1,20260909,False,13,13,0,,7,114.7999352812767,False,,,,,,-0.3186813186813187,-0.3218710060102268,-0.32417582417582413,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-014-a01,issue-77-n1-014-a01,issue-77-n1-014,type010105,calibration,continuous-fixed-h1,20260909,False,13,13,1,4,7,79.4395757317543,False,False,False,0.07692307692307693,0.23076923076923073,0.5833333333333334,-0.07692307692307691,-0.07977999294270578,-0.08241758241758242,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-014-a10,issue-77-n1-014-a10,issue-77-n1-014,type010105,calibration,continuous-fixed-h1,20260909,False,13,13,1,4,7,79.4395757317543,False,False,False,0.07692307692307693,0.23076923076923073,0.5833333333333334,-0.07692307692307691,-0.07977999294270578,-0.08241758241758242,False,
decision--continuous-fixed-h1--seed20260909--issue-77-n1-015-a06,issue-77-n1-015-a06,issue-77-n1-015,type010105,training,continuous-fixed-h1,20260909,False,13,13,0,,7,101.99767279624939,False,,,,,,-0.049450549450549455,-0.0522696505486693,-0.054945054945054944,True,False
decision--continuous-fixed-h1--seed20260909--issue-77-n1-016-a03,issue-77-n1-016-a03,issue-77-n1-016,type010105,calibration,continuous-fixed-h1,20260909,False,13,13,1,3,7,70.01235646009445,False,False,False,0.07692307692307693,0.23076923076923073,0.5,-0.14285714285714285,-0.1458048146883933,-0.14835164835164835,False,
decision--continuous-fixed-h1--seed20260909--issue-77-n1-016-a12,issue-77-n1-016-a12,issue-77-n1-016,type010105,calibration,continuous-fixed-h1,20260909,False,13,13,1,3,7,70.01235646009445,False,False,False,0.07692307692307693,0.23076923076923073,0.5,-0.14285714285714285,-0.1458048146883933,-0.14835164835164835,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-001-a00,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260910,False,12,12,1,6,7,95.17380118370056,False,False,True,0.08333333333333333,0.25,0.8181818181818182,-0.5874125874125874,-0.5919448657459025,-0.5944055944055945,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-001-a07,issue-77-n1-001-a07,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260910,False,12,12,1,6,7,95.17380118370056,False,False,True,0.08333333333333333,0.25,0.8181818181818182,-0.5874125874125874,-0.5919448657459025,-0.5944055944055945,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-003-a00,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260910,False,9,9,0,,7,80.2414140701294,False,,,,,,-0.7,-0.7113032974423645,-0.7166666666666667,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-003-a10,issue-77-n1-003-a10,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260910,False,9,9,0,,7,80.2414140701294,False,,,,,,-0.7,-0.7113032974423645,-0.7166666666666667,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-004-a07,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260910,False,9,9,0,,7,127.53587412834167,False,,,,,,-0.38333333333333336,-0.38333333333333336,-0.38333333333333336,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-005-a07,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260910,True,0,3,1,7,,,,,,,,,,,,False,
decision--continuous-fixed-h1--seed20260910--issue-77-n1-006-a05,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260910,False,13,13,1,5,7,102.23445796966553,False,False,False,0.07692307692307693,0.23076923076923073,0.6666666666666666,-0.4725274725274725,-0.475928923416831,-0.47802197802197804,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-006-a11,issue-77-n1-006-a11,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260910,False,13,13,1,5,7,102.23445796966553,False,False,False,0.07692307692307693,0.23076923076923073,0.6666666666666666,-0.4725274725274725,-0.475928923416831,-0.47802197802197804,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-007-a05,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260910,False,13,13,0,,7,77.27431243658066,False,,,,,,-0.3186813186813187,-0.3218710060102268,-0.32417582417582413,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-007-a12,issue-77-n1-007-a12,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260910,False,13,13,0,,7,77.27431243658066,False,,,,,,-0.3186813186813187,-0.3218710060102268,-0.32417582417582413,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-008-a05,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260910,False,13,13,0,,7,94.50076568126678,False,,,,,,-0.4725274725274725,-0.475928923416831,-0.47802197802197804,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-008-a12,issue-77-n1-008-a12,issue-77-n1-008,type010103,calibration,continuous-fixed-h1,20260910,False,13,13,0,,7,94.50076568126678,False,,,,,,-0.4725274725274725,-0.475928923416831,-0.47802197802197804,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-009-a00,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260910,False,13,13,0,,8,78.30813902616501,False,,,,,,-0.7087912087912087,-0.7125178680055446,-0.7142857142857143,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-009-a09,issue-77-n1-009-a09,issue-77-n1-009,type010105,training,continuous-fixed-h1,20260910,False,13,13,0,,8,78.30813902616501,False,,,,,,-0.7087912087912087,-0.7125178680055446,-0.7142857142857143,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-010-a06,issue-77-n1-010-a06,issue-77-n1-010,type010105,training,continuous-fixed-h1,20260910,False,13,13,1,2,7,98.66673946380615,False,False,False,0.07692307692307693,0.23076923076923073,0.16666666666666666,-0.4725274725274725,-0.475928923416831,-0.47802197802197804,False,
decision--continuous-fixed-h1--seed20260910--issue-77-n1-011-a02,issue-77-n1-011-a02,issue-77-n1-011,type010105,training,continuous-fixed-h1,20260910,False,13,13,1,4,7,90.23709511756897,False,False,False,0.07692307692307693,0.23076923076923073,0.5,-0.48901098901098894,-0.4924351288532529,-0.4945054945054945,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-011-a11,issue-77-n1-011-a11,issue-77-n1-011,type010105,training,continuous-fixed-h1,20260910,False,13,13,1,4,7,90.23709511756897,False,False,False,0.07692307692307693,0.23076923076923073,0.5,-0.48901098901098894,-0.4924351288532529,-0.4945054945054945,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-012-a08,issue-77-n1-012-a08,issue-77-n1-012,type010105,training,continuous-fixed-h1,20260910,False,13,13,1,4,8,90.68127173185349,False,False,False,0.07692307692307693,0.23076923076923073,0.4166666666666667,-0.6318681318681317,-0.6354889093022426,-0.6373626373626374,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-013-a04,issue-77-n1-013-a04,issue-77-n1-013,type010105,training,continuous-fixed-h1,20260910,False,13,13,0,,8,92.03724855184555,False,,,,,,-0.7087912087912087,-0.7125178680055446,-0.7142857142857143,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-014-a01,issue-77-n1-014-a01,issue-77-n1-014,type010105,calibration,continuous-fixed-h1,20260910,False,13,13,1,4,7,83.17444950342178,False,False,False,0.07692307692307693,0.23076923076923073,0.5,-0.48901098901098894,-0.4924351288532529,-0.4945054945054945,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-014-a10,issue-77-n1-014-a10,issue-77-n1-014,type010105,calibration,continuous-fixed-h1,20260910,False,13,13,1,4,7,83.17444950342178,False,False,False,0.07692307692307693,0.23076923076923073,0.5,-0.48901098901098894,-0.4924351288532529,-0.4945054945054945,False,
decision--continuous-fixed-h1--seed20260910--issue-77-n1-015-a06,issue-77-n1-015-a06,issue-77-n1-015,type010105,training,continuous-fixed-h1,20260910,False,13,13,0,,7,93.15903997421265,False,,,,,,-0.4725274725274725,-0.475928923416831,-0.47802197802197804,True,False
decision--continuous-fixed-h1--seed20260910--issue-77-n1-016-a03,issue-77-n1-016-a03,issue-77-n1-016,type010105,calibration,continuous-fixed-h1,20260910,False,13,13,1,3,7,75.3840457201004,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.48901098901098894,-0.4924351288532529,-0.4945054945054945,False,
decision--continuous-fixed-h1--seed20260910--issue-77-n1-016-a12,issue-77-n1-016-a12,issue-77-n1-016,type010105,calibration,continuous-fixed-h1,20260910,False,13,13,1,3,7,75.3840457201004,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.48901098901098894,-0.4924351288532529,-0.4945054945054945,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-001-a00,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260908,False,12,12,1,6,9,61.20842295885086,False,False,False,0.08333333333333333,0.25,0.5454545454545454,-0.9160839160839163,-0.9211923058649254,-0.9230769230769231,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-001-a07,issue-77-n1-001-a07,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260908,False,12,12,1,6,9,61.20842295885086,False,False,False,0.08333333333333333,0.25,0.5454545454545454,-0.9160839160839163,-0.9211923058649254,-0.9230769230769231,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-003-a00,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260908,False,9,9,0,,9,26.18655362725258,False,,,,,,-0.9166666666666666,-0.9288784237188525,-0.9333333333333332,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-003-a10,issue-77-n1-003-a10,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260908,False,9,9,0,,9,26.18655362725258,False,,,,,,-0.9166666666666666,-0.9288784237188525,-0.9333333333333332,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-004-a07,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260908,False,9,9,0,,11,82.82511258125305,False,,,,,,-0.9500000000000001,-0.9500000000000001,-0.9500000000000001,False,
decision--continuous-fixed-h5--seed20260908--issue-77-n1-005-a07,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h5,20260908,True,0,3,1,7,,,,,,,,,,,,False,
decision--continuous-fixed-h5--seed20260908--issue-77-n1-006-a05,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h5,20260908,False,13,13,1,5,10,97.15193712711334,False,False,False,0.07692307692307693,0.23076923076923073,0.4166666666666667,-0.9230769230769231,-0.9270985386790292,-0.9285714285714285,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-006-a11,issue-77-n1-006-a11,issue-77-n1-006,type010103,training,continuous-fixed-h5,20260908,False,13,13,1,5,10,97.15193712711334,False,False,False,0.07692307692307693,0.23076923076923073,0.4166666666666667,-0.9230769230769231,-0.9270985386790292,-0.9285714285714285,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-007-a05,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h5,20260908,False,13,13,0,,10,103.24137723445892,False,,,,,,-0.9230769230769231,-0.9270985386790292,-0.9285714285714285,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-007-a12,issue-77-n1-007-a12,issue-77-n1-007,type010103,calibration,continuous-fixed-h5,20260908,False,13,13,0,,10,103.24137723445892,False,,,,,,-0.9230769230769231,-0.9270985386790292,-0.9285714285714285,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-008-a05,issue-77-n1-008-a05,issue-77-n1-008,type010103,calibration,continuous-fixed-h5,20260908,False,13,13,0,,9,83.1166079044342,False,,,,,,-0.9175824175824175,-0.9215964702002218,-0.9230769230769231,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-008-a12,issue-77-n1-008-a12,issue-77-n1-008,type010103,calibration,continuous-fixed-h5,20260908,False,13,13,0,,9,83.1166079044342,False,,,,,,-0.9175824175824175,-0.9215964702002218,-0.9230769230769231,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-009-a00,issue-77-n1-009-a00,issue-77-n1-009,type010105,training,continuous-fixed-h5,20260908,False,13,13,0,,9,32.6327653080225,False,,,,,,-0.8901098901098902,-0.8940861278061853,-0.8956043956043955,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-009-a09,issue-77-n1-009-a09,issue-77-n1-009,type010105,training,continuous-fixed-h5,20260908,False,13,13,0,,9,32.6327653080225,False,,,,,,-0.8901098901098902,-0.8940861278061853,-0.8956043956043955,False,
decision--continuous-fixed-h5--seed20260908--issue-77-n1-010-a06,issue-77-n1-010-a06,issue-77-n1-010,type010105,training,continuous-fixed-h5,20260908,False,13,13,1,2,9,81.5127746462822,False,False,False,0.07692307692307693,0.23076923076923073,0.16666666666666666,-0.9175824175824175,-0.9215964702002218,-0.9230769230769231,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-011-a02,issue-77-n1-011-a02,issue-77-n1-011,type010105,training,continuous-fixed-h5,20260908,False,13,13,1,4,9,36.29475271701813,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.9175824175824175,-0.9215964702002218,-0.9230769230769231,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-011-a11,issue-77-n1-011-a11,issue-77-n1-011,type010105,training,continuous-fixed-h5,20260908,False,13,13,1,4,9,36.29475271701813,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.9175824175824175,-0.9215964702002218,-0.9230769230769231,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-012-a08,issue-77-n1-012-a08,issue-77-n1-012,type010105,training,continuous-fixed-h5,20260908,False,13,13,1,4,9,55.051897168159485,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.8901098901098902,-0.8940861278061853,-0.8956043956043955,True,False
decision--continuous-fixed-h5--seed20260908--issue-77-n1-013-a04,issue-77-n1-013-a04,issue-77-n1-013,type010105,training,continuous-fixed-h5,20260908,False,13,13,0,,9,62.67042362689972,False,,,,,,-0.8901098901098902,-0.8940861278061853,-0.8956043956043955,False,
decision--continuous-fixed-h5--seed20260908--issue-77-n1-014-a01,issue-77-n1-014-a01,issue-77-n1-014,type010105,calibration,continuous-fixed-h5,20260908,False,13,13,1,4,9,21.302115947008133,False,False,False,0.07692307692307693,0.23076923076923073,0.3333333333333333,-0.9175824175824175,-0.9215964702002218,-0.9230769230769231,False,
