slot_identity,state_identity,source_member,family,study_role,ordinal,branch_identity,stratum,issue_87_failure,frozen_replay_count_cost,normalized_cost_position,frozen_cost_span_informative,frozen_replay_terminal_kind,frozen_replay_pig_removed,state_best_observed_pig_removed,is_type010105,published_outcome_first_shot_success,published_engine_channel_pig_removed,issue_87_wall_seconds,issue_87_engine_wall_seconds,dispatched_at_utc,dispatch_index,minutes_since_first_dispatch,live_at_dispatch,dispatch_burst_size,peak_cpu_rss_mib,join_complete,join_issue_80_candidate_table,join_issue_77_n1_coverage,join_issue_77_n1_replay,join_issue_73_headroom_registry,join_issue_87_dispatch_marker,join_issue_87_receipt
oracle--issue-77-n1-006-a05--a09,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,9,issue-77-n1-006-a09,timeout,TimeoutError: timed out,71.47474610805511,0.7633365203447303,True,right_censored,False,True,False,,,191.32122232811525,,2026-09-22T03:39:37Z,64,53.083333333333336,3,2,954.359375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a10,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,10,issue-77-n1-006-a10,executed,,71.17565470933914,0.7329923794733277,True,stable_without_clear,False,True,False,False,False,166.86265789996833,108.2003434440121,2026-09-22T03:39:39Z,65,53.11666666666667,4,2,1058.58984375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a11,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,11,issue-77-n1-006-a11,executed,,73.05041217803955,0.923194789085187,True,right_censored,False,True,False,False,False,206.27790706278756,140.35039878403768,2026-09-22T03:40:09Z,66,53.61666666666667,4,1,1150.9140625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a12,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,12,issue-77-n1-006-a12,executed,,73.80745381116867,1.0,True,right_censored,False,True,False,False,False,188.13527738070115,121.27311105420813,2026-09-22T03:42:34Z,67,56.03333333333333,3,1,1627.765625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a00,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,0,issue-77-n1-006-a00,executed,,71.18912154436111,0.7343586492515728,True,stable_without_clear,False,True,False,False,False,68.1446967930533,28.388786769937724,2026-09-22T03:42:53Z,68,56.35,3,1,1008.78515625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a01,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,1,issue-77-n1-006-a01,executed,,70.8892879486084,0.7039392092189974,True,stable_without_clear,False,True,False,False,False,62.81694546015933,23.367721141781658,2026-09-22T03:43:11Z,69,56.65,4,1,1058.265625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a02,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,2,issue-77-n1-006-a02,executed,,72.4089207649231,0.8581126573656923,True,stable_without_clear,False,True,False,False,False,69.45789213990793,28.049574720673263,2026-09-22T03:43:53Z,70,57.35,4,1,1163.86328125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a03,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,3,issue-77-n1-006-a03,executed,,67.46209561824799,0.35623543936032526,True,native_fail,False,True,False,False,False,81.9499507592991,39.401441583409905,2026-09-22T03:44:20Z,71,57.8,3,1,1048.73828125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a04,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,4,issue-77-n1-006-a04,executed,,66.06381070613861,0.2143732710279741,True,right_censored,False,True,False,False,False,208.50732206599787,136.19432217720896,2026-09-22T03:44:34Z,72,58.03333333333333,4,1,2255.8046875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a05,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,5,issue-77-n1-006-a05,executed,,63.9508096575737,0.0,True,right_censored,True,True,False,True,True,212.52936648018658,148.3196481410414,2026-09-22T03:45:21Z,73,58.81666666666667,4,1,1060.84375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a06,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,6,issue-77-n1-006-a06,timeout,TimeoutError: timed out,70.81581646203995,0.696485203025454,True,native_fail,False,True,False,,,191.25079472269863,,2026-09-22T03:45:57Z,74,59.416666666666664,3,2,951.5546875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a07,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,7,issue-77-n1-006-a07,executed,,71.07304728031158,0.7225824034785939,True,stable_without_clear,False,True,False,False,False,128.79364380193874,73.97250535199419,2026-09-22T03:45:58Z,75,59.43333333333333,4,2,1107.73046875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a08,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,8,issue-77-n1-006-a08,executed,,70.7526216506958,0.6900738108356388,True,native_fail,False,True,False,False,False,161.83670885302126,99.377783365082,2026-09-22T03:48:24Z,76,61.86666666666667,3,1,1053.33984375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a09,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,9,issue-77-n1-006-a09,executed,,71.47474610805511,0.7633365203447303,True,right_censored,False,True,False,False,False,195.79224064107984,130.4794389726594,2026-09-22T03:48:46Z,77,62.233333333333334,4,1,2172.0390625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a10,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,10,issue-77-n1-006-a10,executed,,71.17565470933914,0.7329923794733277,True,stable_without_clear,False,True,False,False,False,137.88350119395182,78.37595135113224,2026-09-22T03:49:14Z,78,62.7,3,1,1365.125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a11,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,11,issue-77-n1-006-a11,executed,,73.05041217803955,0.923194789085187,True,right_censored,False,True,False,False,False,192.91380804171786,128.51808496005833,2026-09-22T03:49:29Z,79,62.95,4,1,2486.5390625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a11--a12,issue-77-n1-006-a11,issue-77-n1-006,type010103,predictor_train,12,issue-77-n1-006-a12,executed,,73.80745381116867,1.0,True,right_censored,False,True,False,False,False,199.02521855710074,134.45043540513143,2026-09-22T03:51:31Z,80,64.98333333333333,4,1,1063.9609375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a00,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,0,issue-77-n1-007-a00,executed,,68.64341333508492,0.48777981320324115,True,stable_without_clear,False,False,False,False,False,109.69017191696912,59.2975933579728,2026-09-22T03:52:09Z,81,65.61666666666666,3,1,1071.0703125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a01,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,1,issue-77-n1-007-a01,executed,,67.46003904938698,0.4019404676856169,True,stable_without_clear,False,False,False,False,False,188.75780065497383,128.31946164090186,2026-09-22T03:52:29Z,82,65.95,4,1,1054.82421875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a02,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,2,issue-77-n1-007-a02,timeout,TimeoutError: Science Birds did not reach PLAYING before timeout,67.5295624434948,0.406983540465299,True,stable_without_clear,False,False,False,,,77.09603900462389,,2026-09-22T03:52:58Z,83,66.43333333333334,4,1,957.1875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a03,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,3,issue-77-n1-007-a03,executed,,65.15405482053757,0.23466948726064316,True,right_censored,False,False,False,False,False,227.3809921918437,159.31458585010841,2026-09-22T03:54:26Z,84,67.9,3,1,2020.44140625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a04,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,4,issue-77-n1-007-a04,executed,,66.65627831220627,0.34363744685255604,True,right_censored,False,False,False,False,False,184.4361727978103,116.8112027682364,2026-09-22T03:54:47Z,85,68.25,4,1,2286.55078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a05,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,5,issue-77-n1-007-a05,executed,,63.410838425159454,0.10822043704607318,True,right_censored,False,False,False,False,False,184.54962335713208,121.96791891381145,2026-09-22T03:55:30Z,86,68.96666666666667,4,1,2337.078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a06,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,6,issue-77-n1-007-a06,executed,,72.25613814592361,0.7498388566062133,True,right_censored,False,False,False,False,False,193.50572991091758,131.1599046732299,2026-09-22T03:55:58Z,87,69.43333333333334,4,1,1057.71484375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a07,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,7,issue-77-n1-007-a07,executed,,75.70483946800232,1.0,True,stable_without_clear,False,False,False,False,False,190.86169114895165,128.70069055678323,2026-09-22T03:58:20Z,88,71.8,3,1,1054.05859375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a08,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,8,issue-77-n1-007-a08,executed,,68.56723865866661,0.482254271159789,True,stable_without_clear,False,False,False,False,False,174.41174005903304,76.15339252585545,2026-09-22T03:58:43Z,89,72.18333333333334,3,1,1229.8125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a09,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,9,issue-77-n1-007-a09,executed,,61.91892021894455,0.0,True,right_censored,False,False,False,False,False,164.56784095894545,100.84551763394848,2026-09-22T03:59:09Z,90,72.61666666666666,4,1,2451.23046875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a10,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,10,issue-77-n1-007-a10,executed,,74.02713578939438,0.8783030969282221,True,right_censored,False,False,False,False,False,196.11700273584574,132.85504831327125,2026-09-22T03:59:51Z,91,73.31666666666666,4,1,1055.53125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a11,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,11,issue-77-n1-007-a11,timeout,TimeoutError: timed out,68.15492224693298,0.4523457533246938,True,right_censored,False,False,False,,,191.18889670819044,,2026-09-22T04:01:52Z,92,75.33333333333333,3,2,952.41015625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a05--a12,issue-77-n1-007-a05,issue-77-n1-007,type010103,held_out_evaluation,12,issue-77-n1-007-a12,executed,,70.73125904798508,0.6392275095940974,True,right_censored,False,False,False,False,False,177.7988491584547,111.36632501520216,2026-09-22T04:01:53Z,93,75.35,4,2,1069.67578125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a00,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,0,issue-77-n1-007-a00,executed,,68.64341333508492,0.48777981320324115,True,stable_without_clear,False,False,False,False,False,126.69401395693421,75.25051711406559,2026-09-22T04:02:37Z,94,76.08333333333333,4,1,1049.05078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a01,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,1,issue-77-n1-007-a01,executed,,67.46003904938698,0.4019404676856169,True,stable_without_clear,False,False,False,False,False,183.3169604181312,120.49321754695848,2026-09-22T04:03:39Z,95,77.11666666666666,4,1,1068.3359375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a02,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,2,issue-77-n1-007-a02,timeout,TimeoutError: timed out,67.5295624434948,0.406983540465299,True,stable_without_clear,False,False,False,,,191.21608954295516,,2026-09-22T04:05:05Z,96,78.55,2,2,955.87109375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a03,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,3,issue-77-n1-007-a03,executed,,65.15405482053757,0.23466948726064316,True,right_censored,False,False,False,False,False,185.52050301386043,119.89120438881218,2026-09-22T04:05:07Z,97,78.58333333333333,3,2,2435.8984375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a04,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,4,issue-77-n1-007-a04,executed,,66.65627831220627,0.34363744685255604,True,right_censored,False,False,False,False,False,200.7468931679614,141.58979706838727,2026-09-22T04:05:29Z,98,78.95,4,1,1065.9375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a05,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,5,issue-77-n1-007-a05,executed,,63.410838425159454,0.10822043704607318,True,right_censored,False,False,False,False,False,196.28161863191053,130.60544986417517,2026-09-22T04:07:15Z,99,80.71666666666667,4,1,1670.08203125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a06,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,6,issue-77-n1-007-a06,timeout,TimeoutError: timed out,72.25613814592361,0.7498388566062133,True,right_censored,False,False,False,,,191.21186623396352,,2026-09-22T04:08:43Z,100,82.18333333333334,3,2,954.890625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a07,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,7,issue-77-n1-007-a07,executed,,75.70483946800232,1.0,True,stable_without_clear,False,False,False,False,False,150.37826575385407,95.6789801325649,2026-09-22T04:08:44Z,101,82.2,4,2,2087.00390625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a08,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,8,issue-77-n1-007-a08,executed,,68.56723865866661,0.482254271159789,True,stable_without_clear,False,False,False,False,False,141.21960708498955,88.61691624997184,2026-09-22T04:09:28Z,102,82.93333333333334,4,1,1058.34765625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a09,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,9,issue-77-n1-007-a09,executed,,61.91892021894455,0.0,True,right_censored,False,False,False,False,False,182.5026784320362,117.78969745291397,2026-09-22T04:11:01Z,103,84.48333333333333,4,1,2178.1171875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a10,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,10,issue-77-n1-007-a10,executed,,74.02713578939438,0.8783030969282221,True,right_censored,False,False,False,False,False,191.4063987052068,128.66683349199593,2026-09-22T04:11:48Z,104,85.26666666666667,4,1,1659.7734375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a11,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,11,issue-77-n1-007-a11,timeout,TimeoutError: timed out,68.15492224693298,0.4523457533246938,True,right_censored,False,False,False,,,191.2687398144044,,2026-09-22T04:12:19Z,105,85.78333333333333,3,2,954.2421875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-007-a12--a12,issue-77-n1-007-a12,issue-77-n1-007,type010103,held_out_evaluation,12,issue-77-n1-007-a12,executed,,70.73125904798508,0.6392275095940974,True,right_censored,False,False,False,False,False,204.1653459360823,142.7459142259322,2026-09-22T04:12:20Z,106,85.8,4,2,2184.54296875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a00,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,0,issue-77-n1-008-a00,executed,,51.429109305143356,0.037619838358576296,True,right_censored,False,False,False,False,False,198.99770295759663,130.96871524024755,2026-09-22T04:14:38Z,107,88.1,4,1,1879.69140625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a01,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,1,issue-77-n1-008-a01,executed,,64.6012732386589,0.8436825705188364,True,stable_without_clear,False,False,False,False,False,134.16981900902465,79.8728281520307,2026-09-22T04:15:30Z,108,88.96666666666667,4,1,1079.87109375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a02,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,2,issue-77-n1-008-a02,executed,,50.81434985995293,0.0,True,right_censored,False,False,False,False,False,183.99731771973893,119.8635495887138,2026-09-22T04:15:51Z,109,89.31666666666666,3,1,1075.5234375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a03,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,3,issue-77-n1-008-a03,executed,,55.694264590740204,0.2986234775441083,True,right_censored,False,False,False,False,False,250.6433425792493,140.70564498519525,2026-09-22T04:16:12Z,110,89.66666666666667,4,1,2121.63671875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a04,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,4,issue-77-n1-008-a04,timeout,TimeoutError: timed out,65.00085318088531,0.86813462726313,True,stable_without_clear,False,False,False,,,191.319626621902,,2026-09-22T04:18:23Z,111,91.85,3,2,954.51171875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a05,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,5,issue-77-n1-008-a05,executed,,58.85415458679199,0.49199106516291685,True,right_censored,False,False,False,False,False,208.68387901503593,141.77504963986576,2026-09-22T04:18:25Z,112,91.88333333333334,4,2,1069.89453125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a06,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,6,issue-77-n1-008-a06,executed,,63.39050477743149,0.76959031515393,True,right_censored,False,False,False,False,False,204.42774287285283,136.18030177196488,2026-09-22T04:19:41Z,113,93.15,4,1,2241.73046875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a07,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,7,issue-77-n1-008-a07,executed,,59.13243794441223,0.5090204496050093,True,native_fail,False,False,False,False,False,201.29589602304623,134.48842292372137,2026-09-22T04:20:57Z,114,94.41666666666667,4,1,1059.05859375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a08,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,8,issue-77-n1-008-a08,executed,,64.6012732386589,0.8436825705188364,True,stable_without_clear,False,False,False,False,False,195.3755569611676,129.83204032899812,2026-09-22T04:21:58Z,115,95.43333333333334,3,1,1054.89453125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a09,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,9,issue-77-n1-008-a09,executed,,55.749354779720306,0.30199468887040665,True,right_censored,False,False,False,False,False,204.46918270597234,139.00813747942448,2026-09-22T04:22:25Z,116,95.88333333333334,4,1,2175.53515625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a10,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,10,issue-77-n1-008-a10,executed,,64.83849239349365,0.8581990555118842,True,right_censored,False,False,False,False,False,199.36117289960384,132.8551713298075,2026-09-22T04:23:48Z,117,97.26666666666667,4,1,1062.78515625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a11,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,11,issue-77-n1-008-a11,executed,,64.51491093635559,0.8383976808301246,True,right_censored,False,False,False,False,False,195.35926947323605,126.97147779166698,2026-09-22T04:25:06Z,118,98.56666666666666,4,1,2496.390625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a05--a12,issue-77-n1-008-a05,issue-77-n1-008,type010103,held_out_evaluation,12,issue-77-n1-008-a12,executed,,67.15571314096451,1.0,True,right_censored,False,False,False,False,False,199.78519746521488,133.59169548982754,2026-09-22T04:25:49Z,119,99.28333333333333,4,1,1065.39453125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a00,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,0,issue-77-n1-008-a00,executed,,51.429109305143356,0.037619838358576296,True,right_censored,False,False,False,False,False,202.35899470793083,136.8109379298985,2026-09-22T04:26:14Z,120,99.7,4,1,1056.40234375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a01,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,1,issue-77-n1-008-a01,executed,,64.6012732386589,0.8436825705188364,True,stable_without_clear,False,False,False,False,False,137.8999468269758,87.1633081738837,2026-09-22T04:27:42Z,121,101.16666666666667,4,1,1044.984375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a02,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,2,issue-77-n1-008-a02,executed,,50.81434985995293,0.0,True,right_censored,False,False,False,False,False,164.13199878530577,98.41469316883013,2026-09-22T04:29:02Z,122,102.5,4,1,1584.35546875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a03,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,3,issue-77-n1-008-a03,executed,,55.694264590740204,0.2986234775441083,True,right_censored,False,False,False,False,False,202.04213772015646,136.70020259777084,2026-09-22T04:29:54Z,123,103.36666666666666,3,1,2688.9609375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a04,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,4,issue-77-n1-008-a04,executed,,65.00085318088531,0.86813462726313,True,stable_without_clear,False,False,False,False,False,156.53694084612653,97.98836994776502,2026-09-22T04:30:18Z,124,103.76666666666667,3,1,1304.7578125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a05,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,5,issue-77-n1-008-a05,executed,,58.85415458679199,0.49199106516291685,True,right_censored,False,False,False,False,False,202.64860906964168,138.33442847104743,2026-09-22T04:30:42Z,125,104.16666666666667,4,1,1066.9140625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a06,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,6,issue-77-n1-008-a06,executed,,63.39050477743149,0.76959031515393,True,right_censored,False,False,False,False,False,193.97525763418525,127.8586254301481,2026-09-22T04:32:07Z,126,105.58333333333333,4,1,1242.8203125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a07,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,7,issue-77-n1-008-a07,executed,,59.13243794441223,0.5090204496050093,True,native_fail,False,False,False,False,False,186.44977238029242,118.00645913695917,2026-09-22T04:33:34Z,127,107.03333333333333,3,1,1334.4140625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a08,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,8,issue-77-n1-008-a08,executed,,64.6012732386589,0.8436825705188364,True,stable_without_clear,False,False,False,False,False,196.17412298498675,133.59924900671467,2026-09-22T04:34:02Z,128,107.5,4,1,1050.375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a09,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,9,issue-77-n1-008-a09,executed,,55.749354779720306,0.30199468887040665,True,right_censored,False,False,False,False,False,196.45168877765536,132.31958122225478,2026-09-22T04:34:58Z,129,108.43333333333334,4,1,1064.65625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a10,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,10,issue-77-n1-008-a10,executed,,64.83849239349365,0.8581990555118842,True,right_censored,False,False,False,False,False,199.95371522195637,135.31032575434074,2026-09-22T04:35:47Z,130,109.25,4,1,1977.9609375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-008-a12--a11,issue-77-n1-008-a12,issue-77-n1-008,type010103,held_out_evaluation,11,issue-77-n1-008-a11,executed,,64.51491093635559,0.8383976808301246,True,right_censored,False,False,False,False,False,181.01984570128843,116.14189691608772,2026-09-22T04:37:15Z,131,110.71666666666667,4,1,1064.92578125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
